FEATURE_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M
Baldy Peak,33.9059355,-109.5626467,3482
Burnt Mountain,33.8522665,-109.5830101,3041
Diamond Butte,33.9031043,-109.6406497,3234
Mount Graham,32.70173,-109.8714579,3260
Hawk Peak,32.6995078,-109.8820135,3235
Heliograph Peak,32.6501175,-109.8495142,3053
Navajo Mountain,37.0341566,-110.8695747,3148
Plain View Peak,32.6928411,-109.864791,3161
Spruce Mountain,33.9314371,-109.6395391,3155
Tiger Butte,33.9431036,-109.652873,3100
Webb Peak,32.7114525,-109.9225694,3051
Aubineau Peak,35.3552631,-111.6599142,3603
Agassiz Peak,35.3258365,-111.6775417,3760
Mount Baldy,33.9107135,-109.5646831,3478
Doyle Peak,35.3300033,-111.6457456,3492
Escudilla Mountain,33.955291,-109.1251923,3324
Fremont Peak,35.3230589,-111.6609832,3644
Greens Peak,34.1117357,-109.5744874,3088
Humphreys Peak,35.3463151,-111.6779884,3847
Kendrick Peak,35.4081617,-111.8508986,3173
Mount Ord,33.9376141,-109.6047827,3459
Paradise Butte,33.9092101,-109.6050826,3397
Rees Peak,35.3561511,-111.6516868,3494
San Francisco Mountain,35.3462621,-111.6778195,3845
Schultz Peak,35.3155592,-111.6315383,3074
Mount Warren,33.9175433,-109.5811932,3359
Burro Mountain,33.9215677,-109.4944313,3004
Sunrise Peak,33.9552246,-109.5590353,3257
Mount Thomas,33.912782,-109.5524965,3393
Wulsten Baldy,38.2458876,-105.7390608,3908
Bull Mountain,40.91765,-105.8346507,3075
Buck Point,40.8242751,-107.3678497,3206
Mount Oliphant,40.8137539,-107.3786202,3246
Mount Welba,40.8327073,-107.3876582,3222
Sand Point,40.8243902,-107.4136186,3041
Shield Mountain,40.9154685,-107.072521,3028
Black Mountain,40.9353092,-106.7697664,3284
Davis Peak,40.9204389,-106.7004779,3477
Black Mountain,40.8719009,-105.6389816,3030
South Bald Mountain,40.7526359,-105.6960813,3354
Middle Bald Mountain,40.7655437,-105.707257,3355
North Bald Mountain,40.7759204,-105.6992426,3345
Little Bald Mountain,40.8584539,-105.7570001,3175
Deadman Hill,40.8110839,-105.7725994,3197
Shipman Mountain,40.8285311,-106.0778477,3297
Bear Mountain,40.7829238,-106.6116725,3538
Flattop Mountain,40.8046876,-106.6353691,3687
Mount Zirkel,40.831234,-106.6632231,3716
Big Agnes Mountain,40.8302381,-106.6924559,3666
Little Agnes Mountain,40.8271231,-106.717809,3502
Diamond Peak,40.8030373,-107.0749991,3175
Meaden Peak,40.7673656,-107.0771167,3212
Pollock Knob,40.8943821,-106.05716,3003
Nipple Peak,40.8726593,-107.0381404,3146
Dome Peak,40.8716321,-106.8208249,3211
Farwell Mountain,40.8241316,-106.8489248,3309
Bears Ears Peaks,40.7775477,-107.249021,3218
Saddle Mountain,40.8000921,-107.1529516,3061
Sugar Loaf Mountain,40.7820137,-107.1852866,3080
Pilot Knob,40.650946,-107.1017527,3001
The Dome,40.6857854,-106.7058871,3581
Lost Ranger Peak,40.6904091,-106.6723388,3642
Mount Ethel,40.6480401,-106.6801592,3636
Round Mountain,40.5795617,-106.6768265,3224
Buffalo Mountain,40.5128303,-106.7364251,3165
Horse Thief Peak,40.6143657,-106.7335349,3321
Mount Werner,40.4560015,-106.7401636,3221
Rabbit Ears Peak,40.4269026,-106.6110154,3231
Little Haystack Mountain,40.380074,-106.3810473,3257
Red Hill,40.4034394,-106.3200186,3491
Walton Peak,40.3545172,-106.6995431,3214
Bear Mountain,40.3652343,-106.534719,3004
Whiteley Peak,40.3178688,-106.4929939,3076
White Slide Mountain,40.3274439,-106.3979058,3308
Red Slide Mountain,40.3354669,-106.396518,3313
Chimney Rock,40.3447477,-106.4193812,3090
North Ryder Peak,40.3677703,-106.4632284,3002
Sheep Mountain,40.3610053,-106.2656788,3602
Hyannis Peak,40.3585872,-106.3128609,3540
Parkview Mountain,40.3301241,-106.1361882,3748
Haystack Mountain,40.32733,-106.18931,3504
Sheep Mountain,40.3088655,-106.2408285,3465
Little Gravel Mountain,40.2571524,-106.007915,3509
Radial Mountain,40.3595523,-106.0519969,3428
King Mountain,39.9896619,-106.8510709,3105
Gore Mountain,40.2233754,-106.6571012,3261
Searight Mountain,40.2082633,-106.1431929,3274
Slide Mountain,40.1429225,-106.2260672,3027
Elk Mountain,40.1619231,-106.1287535,3477
Grouse Mountain,40.143966,-106.1638608,3162
Pagoda Peak,40.1396954,-107.3333795,3388
Sleepy Cat Peak,40.1274215,-107.5338336,3309
Baldy Mountain,40.1405168,-107.2067744,3090
Dunckley Flat Tops,40.2090583,-107.1614603,3127
Sand Peak,40.1156105,-107.3791708,3308
Snell Mountain,40.100823,-107.3585504,3197
Himes Peak,40.0004805,-107.2633767,3407
Pyramid Peak,40.1220781,-107.1685881,3511
Lost Lakes Peaks,40.0514809,-107.2261661,3638
Maggies Nipple,40.0822328,-107.0398905,3332
Orno Peak,40.0821992,-107.0969209,3695
Flat Top Mountain,40.0146181,-107.0832447,3763
Burro Mountain,39.893631,-107.5885555,3098
Camel Peak,39.9866068,-107.4686997,3064
Timber Mountain,39.894796,-107.3583348,3479
Big Marvine Peak,39.9503698,-107.3406858,3613
Shingle Peak,39.9009048,-107.2061731,3639
W Mountain,39.8741445,-107.1372631,3625
Dome Peak,39.9896686,-107.0488232,3714
Clinetop Mesa,39.7508552,-107.4580376,3246
Blair Mountain,39.7944194,-107.4175453,3492
White River Plateau,39.7531769,-107.3814122,3465
Fowler Peak,39.8699903,-107.4834434,3185
Hunns Peak,39.7880313,-107.332267,3420
Triangle Mountain,39.8157459,-107.2864345,3232
Elk Knob,39.8651549,-107.2869031,3332
Turret Peak,39.8743578,-107.1966019,3509
Little Sugarloaf Mountain,39.8334909,-107.0746752,3016
Spring Hill,39.7050219,-107.4134412,3386
Flatiron Mountain,39.6616422,-107.3869886,3297
Baxter Peak,39.6744203,-107.3180996,3409
Houston Mountain,39.4107817,-107.8770653,3135
North Mamm Peak,39.3865734,-107.8661884,3391
Sunlight Peak,39.4253203,-107.3798269,3227
Bald Mountain,39.3957423,-107.4273925,3161
Haystack Mountain,39.3729412,-107.9063402,3350
South Mamm Peak,39.3713123,-107.8668917,3372
Elk Mountain,39.3330124,-107.8173277,3118
Bald Mountain,39.3464749,-107.789874,3274
Mosquito Mountain,39.3265463,-107.5098493,3205
Flagpole Mountain,39.3357417,-107.5110688,3233
Twin Peaks,39.2992454,-107.3894536,3329
Mount Sopris,39.2630494,-107.1758228,3941
Bronco Knob,39.1527867,-107.654834,3083
Porter Mountain,39.1976745,-107.6587445,3038
Oil Well Mountain,39.1682647,-107.589234,3071
Spruce Mountain,39.1973481,-107.5216872,3302
Huntsman Mountain,39.1848951,-107.3597855,3592
Capitol Peak,39.1501588,-107.0827488,4303
Clark Peak,39.1522363,-107.0611245,4138
Mount Daly,39.1721027,-107.0686259,4054
Haystack Mountain,39.1940517,-107.0654629,3723
Horse Mountain,39.096862,-107.9359656,3210
Green Mountain,39.0042862,-107.7609471,3292
Leon Peak,39.0793355,-107.8440275,3422
Doughty Mountain,39.0083091,-107.7276548,3086
Mount Hatten,39.0478543,-107.6810529,3451
Priest Mountain,39.0427532,-107.7339378,3351
Mount Darline,39.029305,-107.6579529,3447
Chalk Mountain,39.112343,-107.6595789,3396
Crater Peak,39.0396493,-107.662953,3457
Electric Mountain,39.0788674,-107.560879,3138
Chair Mountain,39.0579044,-107.2820262,3881
Ragged Peak,39.036516,-107.2817257,3852
Elk Mountain,39.1031702,-107.1982229,3603
Mount Daly,39.1033521,-107.1502013,3845
Ragged Mountain,39.0203445,-107.2355301,3687
Mount Justice,39.0129506,-107.1702738,3589
Whitehouse Mountain,39.0513717,-107.1542044,3644
Snowmass Peak,39.1109983,-107.0559489,4145
Hagerman Peak,39.1118211,-107.0600384,4211
Snowmass Mountain,39.1186541,-107.0664035,4300
Mount Richey,39.1174648,-107.1210184,3797
Meadow Mountain,39.1000652,-107.1009143,3919
Arkansas Mountain,39.0844046,-107.1114044,3613
Little Bear Mountain,39.0472165,-107.1161255,3292
Bear Mountain,39.0350779,-107.1116392,3770
Treasury Mountain,39.0142783,-107.0989662,4102
Crystal Peak,39.0358445,-107.087899,3850
Galena Mountain,39.0224949,-107.0764896,3833
Mount Bellview,39.0161286,-107.0165305,3810
Dora Mountain,39.7833139,-106.3023046,3746
Sheep Mountain,39.8784121,-106.4327353,3381
Dice Hill,39.9348298,-106.4393177,3003
Slate Mountain,39.7604475,-106.4286109,3394
Mount Powell,39.7599022,-106.3406507,4131
Eagles Nest,39.7754463,-106.3503379,4088
Piney Peak,39.8187369,-106.4977793,3528
Old Baldy,39.7587205,-106.0189591,3611
Ute Peak,39.7855162,-106.0771446,3750
Sugarloaf,39.7815198,-106.0264844,3039
Prairie Mountain,39.8323431,-106.1173178,3259
Williams Peak,39.8773475,-106.2063198,3540
Black Mountain,39.9868594,-106.6536478,3188
Greenhorn Mountain,39.7595856,-106.8942492,3014
Castle Peak,39.7730689,-106.8344953,3435
West Peak,39.8587043,-106.547373,3369
Cottonwood Peak,39.8472989,-106.5314975,3500
Bald Mountain,39.6782633,-106.3298245,3700
Red Peak,39.6364843,-106.1710179,4017
Keller Mountain,39.690062,-106.23149,3990
Ptarmigan Peak,39.6910116,-106.026376,3808
Suicide Mountain,39.5310723,-106.9690078,3002
Red Table Mountain,39.4181405,-106.771035,3665
Adam Mountain,39.5046015,-106.7093635,3392
Porphyry Mountain,39.5360605,-106.6785283,3307
Grouse Mountain,39.5173865,-106.5087177,3904
Lionshead,39.5909122,-106.4136087,3027
Shrine Mountain,39.5350427,-106.2595673,3628
Battle Mountain,39.5635909,-106.3280727,3502
Ptarmigan Point,39.6053071,-106.3697404,3347
Uneva Peak,39.5570533,-106.195996,3820
Buffalo Mountain,39.6167293,-106.1427478,3895
Tenmile Peak,39.5359624,-106.1210577,3943
Peak Three,39.5284791,-106.1199465,3854
Peak Four,39.5216433,-106.1212913,3917
Peak Five,39.5146197,-106.1164414,3918
Swan Mountain,39.5691601,-106.02163,3285
Ophir Mountain,39.5590808,-106.0732794,3103
Royal Mountain,39.5683101,-106.1094979,3199
Peak One,39.5430027,-106.1199036,3902
North Mountain,37.9109474,-108.4027198,3038
Little Cone,37.9275883,-108.0910025,3654
Flat Top Peak,37.881376,-108.1027108,3535
Groundhog Mountain,37.8348683,-108.2173494,3687
Black Mesa,37.7853177,-108.1910286,3539
Dunn Peak,37.8471654,-108.1256414,3836
Dolores Peak,37.8402652,-108.0963662,4051
El Diente Peak,37.8394323,-108.0053368,4310
Taylor Mesa,37.6407834,-108.1522914,3294
Johnny Bull Mountain,37.7195162,-108.0902786,3662
Calico Peak,37.7102665,-108.0901703,3663
Eagle Peak,37.7061907,-108.1018589,3689
Papoose Peak,37.7436845,-108.060511,3615
Elliott Mountain,37.7343143,-108.057968,3760
Sockrider Peak,37.7253915,-108.0660466,3748
Sandstone Mountain,37.7194333,-108.0383953,3187
Telescope Mountain,37.7165201,-108.0060442,3726
Storm Peak,37.6870012,-108.0878205,3686
Anchor Mountain,37.6963777,-108.0808972,3757
Expectation Mountain,37.6941557,-108.0684826,3674
Landslip Mountain,37.6771773,-108.0746154,3550
Dolores Mountain,37.6833228,-108.0058943,3690
Orphan Butte,37.5712035,-108.0213225,3396
Corral Peaks,40.19634,-106.1581906,3430
Sheep Mountain,40.6815922,-105.9339552,3600
North Rawah Peak,40.676247,-105.9668191,3802
South Rawah Peak,40.6591238,-105.9557293,3858
Crown Point,40.6292884,-105.6844359,3489
Diamond Peaks,40.5215932,-105.9109438,3615
Clark Peak,40.6066574,-105.9299169,3948
Flat Top Mountain,40.5319048,-105.8257245,3456
Iron Mountain,40.5068229,-105.8522458,3736
